"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         227,      0.5479805935,       3.353729974,       3.225117388,       8.826730106
          0,           0,         228,      0.5879024437,       3.353502986,       3.211011694,        8.68904315
          0,           0,         229,      0.5483200032,       3.285527316,       3.199090077,       8.553079451
          0,           0,         230,       0.532869296,       3.349898137,        3.22802849,       8.377102554
          0,           0,         231,      0.4999047443,        3.34685138,       3.213443405,       8.183405874
          0,           0,         232,      0.4982585118,       3.338028843,       3.154521691,       7.946355127
          0,           0,         233,      0.4709762357,       3.329140086,        3.14337912,       7.745430777
          0,           0,         234,      0.4353013424,       3.229735343,       3.090598613,       7.949454588
          0,           0,         235,      0.4126268806,       3.222420754,       3.102978412,       7.950860958
          0,           0,         236,       0.394226946,       3.219194422,       3.106854885,        7.92137025
          0,           0,         237,      0.3896171244,       3.181983535,        3.07944508,       8.081215474
          0,           0,         238,      0.4020031984,       3.220298816,       3.099604951,       8.583349027
          0,           0,         239,      0.3825896802,       3.262080258,       3.134110191,       8.727145261
          0,           0,         240,      0.3956223027,       3.293759933,       3.163797829,       8.509238368
          0,           0,         241,      0.3789434736,       3.331606291,       3.205069108,       8.663530384
          0,           0,         242,      0.3671664784,       3.327093789,       3.207939948,       8.808698321
          0,           0,         243,      0.3660205259,       3.357255325,       3.235042225,       8.956329954
          0,           0,         244,      0.4059603493,       3.408908178,       3.227367471,       9.103812342
          0,           0,         245,      0.4235487668,        3.45239132,       3.162866121,        9.24712562
          0,           0,         246,      0.4209814636,       3.440942372,       3.190459627,       9.118116116
          0,           0,         247,      0.4164041208,        3.41153687,       3.174003342,       8.986079652
          0,           0,         248,      0.4019615071,       3.406726725,       3.169484595,       9.145550287
          0,           0,         249,      0.4057023574,       3.428942459,       3.186929961,       9.009351808
          0,           0,         250,      0.4080868555,       3.431289233,       3.205643217,       8.862359163
          0,           0,         251,      0.4063390487,       3.394778502,       3.240673163,        8.43824398
          0,           0,         252,      0.4016062223,       3.395079557,        3.24604859,       8.389913248
          0,           0,         253,      0.3985281808,       3.364671117,       3.205463464,       8.126348575
          0,           0,         254,      0.4076032236,       3.371732554,       3.202504781,        8.03577296
          0,           0,         255,      0.4088046776,       3.339440559,       3.209615301,       7.947325892
          0,           0,         256,       0.399045721,       3.322331892,       3.191923303,       8.074866101
          0,           0,         257,      0.3810412214,       3.337938042,       3.197846986,       8.189095981
          0,           0,         258,      0.3912378714,       3.349400777,       3.195699745,       8.319093674
          0,           0,         259,      0.3749155327,       3.342811773,       3.198492133,       8.230899081
          0,           0,         260,      0.3824911658,       3.353107536,       3.217069226,        7.99066879
          0,           0,         261,      0.3865556324,       3.322247332,       3.198826894,       8.125370296
          0,           0,         262,      0.3908609889,       3.330858469,       3.217097015,       8.233244771
          0,           0,         263,      0.3833067664,        3.29748509,       3.228497587,       8.112836728
          0,           0,         264,      0.3830898832,        3.31004629,       3.206746033,       8.044444124
          0,           0,         265,      0.3777265006,       3.306587655,       3.200379543,       8.198189857
          0,           0,         266,      0.3702388129,       3.258982472,       3.183675793,       8.252598956
          0,           0,         267,      0.3927395186,       3.272384553,       3.189034364,       8.310651979
          0,           0,         268,      0.3824363896,       3.244908586,       3.144076035,       8.258622569
          0,           0,         269,      0.3776827185,       3.284704328,       3.164651816,       8.687951644
          0,           0,         270,      0.3762920868,       3.262462988,        3.17146911,       8.819711262
          0,           0,         271,      0.3710737709,       3.309314725,       3.184042206,        8.68425749
          0,           0,         272,      0.3773834294,       3.376703119,       3.247050521,       8.380948723
          0,           0,         273,      0.3672233079,       3.307445423,       3.199588351,       8.280629835
          0,           0,         274,      0.3732407079,       3.220438857,       3.214937171,       8.366552688
          0,           0,         275,       0.386266799,       3.320426589,       3.248924309,       8.458744323
          0,           0,         276,      0.3898784312,       3.252336799,       3.274126206,       8.507907514
          0,           0,         277,       0.395409074,       3.167257052,       3.246427323,       8.370588047
          0,           0,         278,      0.3757327807,        3.18681153,       3.256842842,       8.527922639
          0,           0,         279,      0.3716343913,       3.161139154,       3.279151072,       8.500359053
          0,           0,         280,       0.375780454,       3.143351157,       3.310062999,       8.583349547
          0,           0,         281,      0.3139224144,       3.190388473,       3.300793145,       8.535673323
          0,           0,         282,      0.2858125156,       3.196017663,       3.292994186,       8.523676436
          0,           0,         283,      0.2904403705,        3.20974095,       3.295072562,       8.580459391
          0,           0,         284,      0.3086905353,       3.227298823,       3.292877578,       8.553939832
          0,           0,         285,       0.321469953,       3.201022729,       3.306017961,       8.620881031
          0,           0,         286,      0.3628766309,       3.255866922,       3.522530315,       8.954936895
          0,           0,         287,      0.3589669628,       3.329094198,       3.535221064,       8.800435424
          0,           0,         288,      0.3710511546,       3.285138994,       3.567656694,       8.928882215
          0,           0,         289,      0.3895750484,        3.28075354,       3.580781904,        9.02156879
          0,           0,         290,      0.3396905653,       3.276820941,       3.557647887,       8.855083422
          0,           0,         291,      0.3814435432,        3.29423947,        3.53966359,       8.705089482
          0,           0,         292,      0.3272328032,        3.31345072,       3.581666152,        8.86792898
          0,           0,         293,      0.3569097088,       3.310532031,       3.585203491,       8.941042165
          0,           0,         294,      0.3926103353,       3.353152452,       3.657654651,       9.008895472
          0,           0,         295,      0.3454820296,       3.400415881,       3.730287818,       9.262048187
          0,           0,         296,      0.3827114605,       3.418240275,       3.758610433,       9.160035237
          0,           0,         297,      0.3309678395,       3.480566807,       3.842181928,       9.367773564
          0,           0,         298,      0.3350524894,       3.528050881,       3.932030256,       9.489333122
          0,           0,         299,      0.3010913156,       3.554475861,       3.951261848,       9.695568065
          0,           0,         300,      0.2755708818,        3.60336926,       3.993237013,       9.875799358
          0,           0,         301,      0.3084921182,       3.568735028,        3.96106892,       10.21103406
