"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         147,       -7.05417017,      -5.129403479,       -4.42686372,      -1.574795084
          0,           0,         148,      -7.060833066,      -5.120849702,      -4.433850958,      -1.581461452
          0,           0,         149,      -7.067270964,      -5.106626104,        -4.4426473,      -1.587808902
          0,           0,         150,      -7.075259055,       -5.09675064,      -4.454070471,      -1.595651324
          0,           0,         151,      -7.086090492,      -5.097195668,      -4.468120937,      -1.606330675
          0,           0,         152,       -7.09933776,      -5.111052239,      -4.483187737,      -1.619479485
          0,           0,         153,      -7.113872626,      -5.137806925,      -4.497390087,       -1.63401586
          0,           0,         154,      -7.128181109,      -5.172376282,      -4.509261181,      -1.648425837
          0,           0,         155,      -7.140523239,      -5.205526837,      -4.518006575,      -1.660930451
          0,           0,         156,      -7.149938547,      -5.225555056,      -4.524275452,      -1.670499044
          0,           0,         157,      -7.156189991,      -5.226172952,      -4.529337413,      -1.676828282
          0,           0,         158,      -7.160333825,      -5.212611405,      -4.534802373,      -1.680948867
          0,           0,         159,      -7.164630648,      -5.196130191,      -4.542439024,      -1.685135408
          0,           0,         160,      -7.171839788,      -5.186242487,      -4.553684505,      -1.692183513
          0,           0,         161,      -7.183219327,      -5.188750856,      -4.568401664,      -1.703405064
          0,           0,         162,       -7.19790416,      -5.206434677,        -4.5844394,      -1.718001126
          0,           0,         163,      -7.214398693,      -5.237184117,       -4.59969369,      -1.734515496
          0,           0,         164,      -7.229974824,      -5.274181193,        -4.6117296,      -1.750215072
          0,           0,         165,      -7.242033541,      -5.305811721,      -4.619492922,      -1.762454094
          0,           0,         166,      -7.249438101,       -5.31885342,      -4.624018557,      -1.770006851
          0,           0,         167,      -7.252766981,      -5.310650719,      -4.627271564,      -1.773385875
          0,           0,         168,      -7.254908401,      -5.291245817,      -4.632153125,      -1.775462362
          0,           0,         169,      -7.259681741,      -5.273763217,      -4.641276267,      -1.780077795
          0,           0,         170,       -7.26957276,      -5.267372521,      -4.655600165,      -1.789771294
          0,           0,         171,      -7.284483022,      -5.277217559,      -4.673396161,      -1.804517902
          0,           0,         172,      -7.302814941,      -5.303538296,      -4.691901205,      -1.822790502
          0,           0,         173,      -7.321387343,      -5.341750641,      -4.707562885,       -1.84143817
          0,           0,         174,      -7.336270104,      -5.381811245,       -4.71760865,      -1.856512162
          0,           0,         175,      -7.345468877,       -5.40767462,      -4.722552471,      -1.865924285
          0,           0,         176,      -7.349182844,      -5.408705151,       -4.72471025,      -1.869768568
          0,           0,         177,      -7.350499162,      -5.390607805,      -4.727805076,      -1.871079619
          0,           0,         178,      -7.354027829,      -5.368639351,      -4.735501137,      -1.874470572
          0,           0,         179,      -7.363068133,      -5.355603967,      -4.749533756,      -1.883292106
          0,           0,         180,      -7.378362678,       -5.35885018,      -4.768877313,      -1.898364303
          0,           0,         181,      -7.398383692,      -5.380497429,      -4.790428465,      -1.918248957
          0,           0,         182,      -7.419909779,      -5.417874525,      -4.810013282,      -1.939787348
          0,           0,         183,      -7.438149755,      -5.463073242,      -4.823358526,      -1.958202415
          0,           0,         184,      -7.450115241,      -5.500400934,      -4.829951629,      -1.970425903
          0,           0,         185,      -7.455550104,      -5.513216113,      -4.832256035,      -1.976066911
          0,           0,         186,       -7.45719117,      -5.500347269,      -4.834367759,      -1.977771794
          0,           0,         187,      -7.460072582,      -5.476664962,      -4.840804968,        -1.9805528
          0,           0,         188,      -7.468193969,      -5.458392586,      -4.854045242,      -1.988453186
          0,           0,         189,      -7.483150583,      -5.455343421,      -4.873923574,      -2.003147733
          0,           0,         190,       -7.50376542,      -5.471519402,      -4.897407272,      -2.023558789
          0,           0,         191,       -7.52716484,      -5.505884701,      -4.920248767,      -2.046900852
          0,           0,         192,      -7.548349612,      -5.552728086,      -4.937209207,      -2.068219945
          0,           0,         193,      -7.563346012,      -5.598831113,      -4.946311159,      -2.083493407
          0,           0,         194,      -7.571340185,        -5.6247258,      -4.949773793,      -2.091760715
          0,           0,         195,      -7.574187987,      -5.621151958,      -4.951546575,      -2.094751408
          0,           0,         196,       -7.57680715,      -5.598969221,       -4.95667645,      -2.097329522
          0,           0,         197,       -7.58381591,      -5.576783411,      -4.968458727,      -2.104139923
          0,           0,         198,      -7.597643943,      -5.567374809,      -4.987679798,      -2.117689454
          0,           0,         199,      -7.617803687,      -5.576937122,      -5.011864539,      -2.137590656
          0,           0,         200,      -7.642026526,      -5.606020514,      -5.037132639,      -2.161679957
          0,           0,         201,      -7.665818599,      -5.651012459,      -5.058011794,      -2.185534372
          0,           0,         202,      -7.684289485,      -5.702238864,        -5.0707282,      -2.204260496
          0,           0,         203,      -7.695749619,      -5.740929179,      -5.076532648,      -2.216037127
          0,           0,         204,      -7.700868341,      -5.750674661,      -5.078821886,      -2.221379531
          0,           0,         205,      -7.703747276,      -5.734259857,      -5.082683644,      -2.224298199
          0,           0,         206,      -7.709375285,      -5.710045163,      -5.092265175,      -2.229779356
          0,           0,         207,      -7.721070442,      -5.694268369,      -5.109372047,      -2.241207223
          0,           0,         208,      -7.739494272,      -5.695796711,      -5.132738866,      -2.259337294
          0,           0,         209,      -7.763001645,      -5.717263918,      -5.158947161,      -2.282638259
          0,           0,         210,      -7.788220971,      -5.756947463,      -5.183150901,      -2.307827773
          0,           0,         211,      -7.809964451,      -5.808589208,      -5.200191521,      -2.329759664
          0,           0,         212,       -7.82523156,      -5.857249575,      -5.209334046,      -2.345349547
          0,           0,         213,       -7.83360892,      -5.882915547,      -5.213213706,       -2.35402095
          0,           0,         214,      -7.837567235,      -5.877831358,      -5.216238989,       -2.35811673
          0,           0,         215,       -7.84191402,      -5.855149916,      -5.223203308,      -2.362399821
          0,           0,         216,      -7.850869304,      -5.833976831,      -5.237031126,      -2.371131304
          0,           0,         217,      -7.866525164,      -5.826539797,      -5.258144982,       -2.38648669
          0,           0,         218,      -7.888043014,      -5.838447835,      -5.283775712,      -2.407737464
          0,           0,         219,      -7.913264404,       -5.86986156,      -5.310123439,      -2.432830067
          0,           0,         220,      -7.937760253,      -5.917153668,      -5.331780121,      -2.457405138
          0,           0,         221,      -7.957022304,      -5.970633269,      -5.345323634,      -2.476943137
          0,           0,         222,      -7.969512343,      -6.011443549,      -5.352081423,      -2.489766477
